class,feature_name,raw_feature_name,feature_type,mean_abs_shap
ham,sir,tfidf__sir,tfidf,0.0010851497461952
ham,cash 2000,tfidf__cash 2000,tfidf,0.001084881826687934
ham,auction send,tfidf__auction send,tfidf,0.0010805188217849592
ham,83600,tfidf__83600,tfidf,0.0010754059834634894
ham,wont,tfidf__wont,tfidf,0.001074855850200717
ham,conditions,tfidf__conditions,tfidf,0.0010713224472472184
ham,terms conditions,tfidf__terms conditions,tfidf,0.0010713224472472184
ham,covid,tfidf__covid,tfidf,0.001070911221024737
ham,covid 19,tfidf__covid 19,tfidf,0.001070911221024737
ham,currently,tfidf__currently,tfidf,0.0010663076669427548
ham,ur mob,tfidf__ur mob,tfidf,0.0010654156198596733
